# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 293241992 (Default)
# output
#   file = o.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,y_log.1,y_log.2,y_log.3,y_log.4,y_log.5,y_log.6,y_log.7,y_log.8,y_log.9,y_log.10,y_log.11,f.1,f.2,f.3,f.4,f.5,f.6,f.7,f.8,f.9,f.10,f.11
# Adaptation terminated
# Step size = 0.794299
# Diagonal elements of inverse mass matrix:
# 0.0505556
7.25038,0.759354,0.794299,1,3,0,-4.51811,0.275224,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,29.2851,28.9443,28.7417,9.69567,33.6765,103.174,16.8785,38.5839,41.7301,39.6833,11.1871
7.16548,0.975194,0.794299,1,3,0,-6.95358,0.236736,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,41.65,22.3732,24.4353,24.4851,33.0496,49.33,14.8637,16.8998,16.494,107.108,37.4664
7.23949,0.974517,0.794299,1,3,0,-6.91173,0.278299,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,35.3474,25.3387,47.9198,34.0016,26.3196,29.0384,7.25201,22.3356,50.3252,24.2864,23.1565
7.26656,0.997406,0.794299,3,7,0,-7.20418,0.268653,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,29.0121,35.0128,28.761,11.5139,6.92407,24.2344,30.7704,18.7749,16.9888,84.1811,35.0792
6.99825,0.952853,0.794299,1,3,0,-6.81491,0.313534,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,37.6352,12.1084,20.1381,41.3917,38.263,16.2763,89.24,12.9104,112.769,18.0805,79.0721
6.18605,0.94159,0.794299,2,3,0,-6.12054,0.381846,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,21.0496,46.8481,10.7743,88.7633,33.2135,45.1978,114.117,17.6042,61.5516,76.6565,48.9922
5.47272,0.970436,0.794299,3,7,0,-5.47263,0.179092,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,30.3165,22.5688,39.0311,19.7937,25.3329,22.6755,24.7967,35.6777,19.6959,57.124,18.3484
6.63048,1,0.794299,1,1,0,-5.76952,0.206378,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,27.884,24.1303,27.1237,23.9597,34.0056,52.0508,42.9024,41.4556,21.6205,22.5171,13.819
7.23053,1,0.794299,3,7,0,-6.63284,0.245812,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,28.2093,29.2539,31.1818,21.4028,36.378,77.7816,34.8315,16.3675,135.207,29.3092,31.7321
6.92299,0.969475,0.794299,3,7,0,-6.90638,0.32131,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,25.252,56.0074,25.4615,23.0886,48.7934,3.94249,35.1854,16.1801,19.8755,4.1719,71.9819
7.26156,0.949355,0.794299,3,7,0,-6.11786,0.253747,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,18.0057,14.5466,15.5714,54.5995,20.2007,36.3085,61.7495,45.8812,14.5949,38.9301,62.1339
7.22643,0.983091,0.794299,1,3,0,-7.11753,0.281421,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,19.6022,39.9444,13.0577,21.9955,41.2506,14.3425,70.3507,7.52677,47.649,48.5467,54.3261
6.89835,0.916598,0.794299,3,7,0,-6.13088,0.217682,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,26.0297,31.071,21.3905,22.536,19.8916,49.1186,28.8605,41.5996,17.1055,26.2466,9.3444
7.19622,0.922304,0.794299,2,7,0,-6.19942,0.287398,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,32.2703,26.073,17.3351,31.5922,42.4629,55.0235,25.9331,24.9633,13.3093,10.6131,9.08743
7.06719,0.960867,0.794299,2,3,0,-6.75894,0.305714,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,16.9861,10.8325,37.5669,25.9736,12.71,32.3524,46.4589,27.7497,5.55396,13.9608,31.6192
7.25575,0.990054,0.794299,2,3,0,-6.91423,0.273441,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,36.2733,20.7948,35.7721,53.021,9.31191,9.15738,40.7535,37.0374,39.529,17.5478,45.5169
6.33944,0.831703,0.794299,1,3,0,-5.54281,0.370437,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,40.4727,37.8792,43.3825,10.2962,35.9339,14.7775,71.5066,26.2105,23.7982,48.4432,15.3321
7.25971,0.985677,0.794299,3,7,0,-6.2144,0.271943,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,16.5806,24.4565,32.1647,32.8503,33.2564,45.8336,43.7866,11.5479,31.6995,47.143,27.8867
7.08997,0.962321,0.794299,2,3,0,-6.80961,0.229723,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,30.1922,23.8712,32.3849,23.3542,115.249,84.8428,25.5575,50.521,32.9396,41.339,13.5758
7.23008,0.808179,0.794299,2,3,0,-5.00787,0.280594,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,35.4436,62.5021,29.8114,39.3048,19.2193,5.3077,110.485,63.0221,23.4842,43.5217,37.1178
6.97749,0.902064,0.794299,3,7,0,-6.00578,0.222029,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,26.8654,32.9657,28.5149,41.3938,13.6397,45.6566,13.9178,19.6245,26.4958,24.8023,35.241
6.72109,0.945405,0.794299,1,1,0,-6.7088,0.209769,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,37.7574,21.7296,33.6949,45.6162,23.181,33.182,17.4012,17.6688,25.2567,27.5353,58.4764
6.93863,1,0.794299,1,1,0,-6.74669,0.219812,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,22.9736,27.2696,34.1998,27.9113,46.3276,14.8586,74.843,23.4975,30.8189,43.2805,52.9145
6.70811,0.950044,0.794299,1,1,0,-6.68694,0.209261,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,18.7183,28.3759,33.2215,24.1942,29.7253,74.915,23.7232,48.7597,53.1321,86.6457,70.4032
6.90875,1,0.794299,1,1,0,-6.72275,0.218218,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,30.9956,41.0815,31.9718,46.8545,32.4041,12.7199,27.1863,27.7994,19.9896,42.7946,17.6247
6.99542,1,0.794299,1,1,0,-6.8956,0.223115,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,34.6995,25.0597,18.0557,19.2357,10.1547,27.3208,31.4673,28.656,38.2779,34.898,41.4779
6.56636,0.909501,0.794299,3,7,0,-6.1228,0.352759,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,36.2974,27.7955,25.9465,12.5882,37.2844,30.246,70.4151,11.7091,7.48839,10.9295,15.4265
6.35843,0.978389,0.794299,2,3,0,-6.03829,0.368999,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,17.3625,34.3713,25.0686,36.809,56.965,10.0812,11.1057,9.77555,19.4804,22.6513,67.4311
6.22599,0.996406,0.794299,2,3,0,-6.17797,0.378909,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,34.6203,48.2105,85.0024,31.2704,18.2704,134.499,73.1621,5.39436,241.957,53.7748,62.4981
6.47887,0.991545,0.794299,3,7,0,-6.09703,0.201377,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,25.7955,24.7465,27.6812,36.0614,17.1564,19.9584,30.4595,23.7867,31.8397,17.5184,4.31977
7.27164,0.96096,0.794299,2,3,0,-6.13922,0.264019,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,36.107,33.3806,43.5616,14.6377,164.34,20.6378,9.54353,25.0942,33.963,97.4425,77.9329
6.68936,0.875828,0.794299,1,3,0,-6.0862,0.342591,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,31.9376,37.1337,24.0981,59.6809,22.2001,72.3115,13.4281,76.4562,87.7698,55.4912,54.9
7.27011,0.967197,0.794299,1,3,0,-6.23273,0.266036,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,29.9274,32.4363,32.5379,12.8908,46.1552,8.18987,33.2287,13.9334,31.9847,35.9332,28.482
7.15375,0.979447,0.794299,1,3,0,-7.07854,0.294271,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,33.0279,21.8427,18.4784,34.2881,60.0528,26.8381,14.9569,39.9041,35.5528,23.9215,55.4696
7.07156,0.962634,0.794299,2,3,0,-6.69687,0.305188,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,33.1661,37.7465,17.8162,24.3332,101.141,14.6577,112.469,63.5857,3.91569,62.1371,24.8222
7.00759,0.997136,0.794299,3,7,0,-7.00543,0.31252,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,21.6287,35.518,23.2002,30.6623,34.7638,35.4822,38.323,67.4326,31.1835,2.80853,93.5189
5.37057,0.876672,0.794299,2,3,0,-5.36027,0.438912,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,46.7981,30.6941,31.5692,42.9759,44.1728,16.6544,45.7339,35.39,869.726,60.7772,16.1328
5.64227,1,0.794299,2,3,0,-5.33283,0.420328,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,29.6086,30.0701,13.164,31.3132,8.27387,73.4796,454.964,52.4617,26.9678,84.6085,4.91003
6.67188,1,0.794299,3,7,0,-5.59547,0.344069,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,28.7206,32.2063,44.7549,38.4766,10.4349,32.505,16.7478,22.3173,23.578,94.1742,71.0945
7.19944,0.94476,0.794299,1,3,0,-5.50798,0.240882,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,44.8744,28.4273,13.4691,30.0685,27.6289,21.6893,28.9374,107.191,15.3826,57.3465,43.9659
6.98203,0.970692,0.794299,3,7,0,-6.894,0.2223,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,27.1166,25.8207,17.7437,55.8303,13.916,41.9047,40.3493,21.1478,17.3144,14.8253,48.4784
7.22421,0.946095,0.794299,1,3,0,-6.48644,0.281912,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,22.0122,26.7082,54.7943,28.1815,42.8215,74.2667,17.0552,18.3975,34.765,6.12235,12.1037
7.27196,0.996864,0.794299,1,3,0,-7.18402,0.261282,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,26.1359,24.3329,76.4747,24.3942,13.076,9.37337,7.25604,23.8964,53.2381,25.6238,9.82151
7.10139,0.984283,0.794299,2,3,0,-7.09779,0.230653,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,30.9566,29.2537,43.8658,39.777,24.469,16.2601,36.775,56.0992,25.9668,84.1555,31.3735
6.44352,0.725988,0.794299,1,3,0,-4.20931,0.36247,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,30.4437,52.3282,31.1444,44.2067,8.45902,17.9365,80.8291,7.11241,54.2771,28.9824,36.3095
6.56013,0.99813,0.794299,3,7,0,-6.36346,0.203965,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,26.0472,22.9608,53.2397,25.6406,31.8233,14.2023,40.5527,210.848,25.149,22.1319,58.1059
6.3133,0.983968,0.794299,3,7,0,-6.24173,0.196635,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,33.7715,34.7221,32.1615,36.8794,28.4394,27.4502,24.2552,25.6464,35.4921,22.5858,11.7973
7.26641,1,0.794299,3,7,0,-6.47248,0.268743,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,41.165,41.9885,37.2092,25.784,17.0296,44.7137,111.691,30.749,85.8257,27.2502,29.7371
7.15881,0.977441,0.794299,1,3,0,-7.01926,0.236016,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,24.5909,30.9379,14.6813,35.587,35.5786,33.7233,29.6078,50.0482,31.554,63.4035,47.4678
7.17827,1,0.794299,1,1,0,-7.15154,0.238192,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,37.6478,38.6929,25.3877,39.2668,8.56803,23.7236,36.6924,99.1437,24.163,20.662,158.857
7.16327,0.999081,0.794299,2,3,0,-7.15133,0.236495,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,40.0499,22.7768,61.9412,20.7816,45.9775,42.9112,29.512,39.44,17.4823,25.7221,28.7262
6.85966,0.94894,0.794299,2,3,0,-6.63125,0.215772,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,28.4938,34.3202,21.0807,26.0628,62.2441,44.8221,18.89,99.1886,44.7404,6.88837,17.0864
6.44233,0.906712,0.794299,1,1,0,-6.42532,0.200274,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,30.3498,51.6033,31.9944,15.7299,36.738,57.5687,31.4786,20.6767,19.6171,27.8987,71.235
6.71171,1,0.794299,1,1,0,-6.44602,0.209401,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,28.7583,39.4117,19.7759,38.7083,29.2404,29.6917,44.3264,31.5775,114.844,36.92,37.2331
6.73829,0.857596,0.794299,2,3,0,-5.49005,0.210455,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,32.1876,34.4515,17.2088,33.4133,14.5181,69.4477,11.1049,18.3715,32.053,21.0415,49.13
6.73829,0.881582,0.794299,1,1,0,-6.32512,0.210455,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,33.2755,30.4991,22.1471,23.6725,28.1101,23.4489,15.3187,20.3737,21.4273,15.0395,13.5233
6.73829,0.833216,0.794299,1,3,0,-5.34599,0.210455,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,27.1275,15.4761,35.8968,21.2125,51.0239,49.2876,24.139,28.2329,15.1999,23.209,31.0073
6.63687,0.625999,0.794299,1,3,0,-3.69379,0.346994,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,37.3997,18.3766,15.6681,7.71351,50.1805,17.3054,4.58044,4.8537,18.5598,22.7823,55.3935
4.41683,0.862438,0.794299,2,3,0,-4.38578,0.503088,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,73.5968,35.8633,5.49938,15.1792,4.4297,113.109,20.4256,46.2057,50.3679,3.2739,2.11924
4.24102,0.990233,0.794299,1,1,0,-4.08778,0.514902,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,78.5906,58.308,32.4797,33.2905,14.6619,93.6237,49.0645,51.1793,59.534,179.392,57.0869
4.08078,0.994261,0.794299,3,7,0,-3.87661,0.525692,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,26.8906,11.5255,31.8162,48.0369,52.2764,20.5107,18.7907,40.3647,318.101,234.682,35.5885
4.84445,0.969418,0.794299,3,7,0,-1.72599,0.474394,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,30.2569,28.0696,18.5135,150.569,28.7226,13.8595,12.7531,7.4282,30.1901,4.56422,4.99216
5.40026,1,0.794299,2,3,0,-4.86507,0.436893,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,34.9622,22.6173,29.2619,7.57589,18.408,23.1821,11.2589,48.3054,52.0683,54.7242,21.7973
6.14197,0.946372,0.794299,3,7,0,-4.55652,0.192316,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,22.5223,42.2091,33.9289,24.3595,19.7753,32.3016,36.988,36.6416,24.1158,48.253,26.6845
7.21887,0.980868,0.794299,2,3,0,-5.94235,0.243778,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,55.5944,23.0128,38.3959,25.3397,61.767,43.9431,14.6552,41.5608,38.8675,26.5542,41.3071
7.10208,0.981518,0.794299,2,3,0,-7.02124,0.230711,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,22.5976,32.0957,26.1385,46.6171,75.1242,29.568,22.246,81.8494,61.1006,14.8815,25.1523
7.21708,0.954028,0.794299,1,3,0,-6.68797,0.283418,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,24.5916,42.246,44.1452,11.5045,54.3314,26.9889,20.0486,28.7782,20.9017,27.6646,152.798
7.21512,0.999742,0.794299,1,1,0,-7.2082,0.283817,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,20.3716,40.5309,16.4506,54.5828,23.8789,44.1358,60.1803,31.0154,16.4281,27.513,13.935
7.2132,0.999749,0.794299,1,1,0,-7.20602,0.284202,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,31.7086,23.9827,17.4356,24.5391,23.7488,24.8478,18.8767,38.7427,41.1671,25.5223,42.4605
7.23072,0.980857,0.794299,1,3,0,-6.98935,0.245847,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,35.8693,20.5913,32.7127,35.2791,15.8819,37.9237,40.2219,16.8771,29.8265,31.0586,17.3488
6.92202,0.878525,0.794299,1,3,0,-6.18836,0.321407,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,28.9813,47.3119,26.4401,40.5639,12.6227,33.7349,45.4065,14.2825,31.5422,7.84995,96.4366
6.99916,0.998531,0.794299,3,7,0,-6.91928,0.313436,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,42.7794,25.6728,35.0063,85.4601,30.6227,25.538,9.23784,27.4912,13.8622,12.2921,17.5115
7.26999,1,0.794299,2,3,0,-7.03678,0.266153,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,42.232,14.648,42.6396,30.6819,22.9129,10.5575,7.737,20.2619,27.9383,79.1799,44.6622
7.26017,0.975815,0.794299,3,7,0,-7.01849,0.271754,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,22.3884,14.3625,42.1442,22.546,63.6294,58.8457,12.766,26.8919,9.4306,98.7507,22.9001
6.75107,0.963095,0.794299,2,3,0,-6.75079,0.210974,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,38.5955,31.3201,32.9519,49.0517,51.6706,21.5712,73.3778,27.4863,24.9599,15.3358,12.4353
6.64122,0.991481,0.794299,2,3,0,-6.56112,0.206762,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,27.3399,24.7275,30.8524,29.9802,29.5182,41.2178,27.3622,25.5272,22.9334,34.255,16.8576
7.26721,1,0.794299,2,3,0,-6.73911,0.268255,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,21.2674,25.8773,32.635,24.2976,35.4575,37.4601,14.7021,25.971,9.7542,27.4048,32.1
7.15171,0.988487,0.794299,2,3,0,-7.14948,0.294573,3.09104,3.21888,3.21888,2.77259,3.04452,3.55535,3.29584,3.29584,3.21888,3.3322,3.3673,24.7158,83.6479,37.4255,16.6129,36.4083,83.7311,25.3574,23.0377,64.6482,44.9537,81.5789
